CNEXT	Sample	CGT	Transform	UCSF Internal Cancer Registrar Field	Anonymized Public Field	Consent Category	Comment	Comments Ann	
Abstracted By	NMP			Birthplace	Birthplace (County)	Locations: Birth County	Or state code if county population is <20.000		
Accession/Seq (KEEP)	199600108/00			Casefinding Source	Casefinding Source	?		Pathology or Discharge Dx (de-identified)	
Addr at DX, Country	UNITED STATES			Cause of Death	Cause of Death	Health: Cause of Death			
Addr at DX, Postal Code	93662			Chemotherapy at This Hospital	Chemotherapy at This Hospital	Health: Summary of treatments performated at UCSF		This is coded Chemo NOS, Single-Agent, Multi-Agent (De-identified unless combined with 'Hospital of Rx' for Chemo field). These fields help distinguish what treatment was given here vs elsewhere.	
Addr at DX, State	CA			Chemotherapy Summary	Chemotherapy Summary	Health: Summary of previous treatments		This is coded Chemo NOS, Single-Agent, Multi-Agent (De-identified unless combined with 'Hospital of Rx' for Chemo field)	
Addr Current, City*	CANTUA CREEK			Class of Case	Class of Case	?			
Age at Dx	6	Age at Dx		Coding Procedure	Coding Procedure				
Behavior (ICD-O-3)	3			Comorbidity Complications 1	Comorbidity Complications 1	Health: Presence of other diseases or conditions			
Birth Date	32888			Comorbidity Complications 10	Comorbidity Complications 10	Health: Presence of other diseases or conditions			
Chemotherapy, At UCSF	NONE, NOT PLANNED			Comorbidity Complications 2	Comorbidity Complications 2	Health: Presence of other diseases or conditions			
Chemotherapy, Date Started	00/00/0000			Comorbidity Complications 3	Comorbidity Complications 3	Health: Presence of other diseases or conditions			
Chemotherapy, Reason No RX	NOT RECOMMENDED			Comorbidity Complications 4	Comorbidity Complications 4	Health: Presence of other diseases or conditions			
Chemotherapy, Summary	NONE, NOT PLANNED			Comorbidity Complications 5	Comorbidity Complications 5	Health: Presence of other diseases or conditions			
Class of Case	DX HERE/STAFF MD, RX HERE			Comorbidity Complications 6	Comorbidity Complications 6	Health: Presence of other diseases or conditions			
cM Code	NOT APPLICABLE			Comorbidity Complications 7	Comorbidity Complications 7	Health: Presence of other diseases or conditions			
cN Code	NOT APPLICABLE			Comorbidity Complications 8	Comorbidity Complications 8	Health: Presence of other diseases or conditions			
Comorbid/Complication 1	NO SECONDARY DX DOCUMENTD	Comorbid/Complication 1		Comorbidity Complications 9	Comorbidity Complications 9	Health: Presence of other diseases or conditions			
Comorbid/Complication 10	NONE	Comorbid/Complication 10		Contact City				PHI-related	
Comorbid/Complication 2	NONE	Comorbid/Complication 2		Contact Country				PHI-related	
Comorbid/Complication 3	NONE	Comorbid/Complication 3		Contact Name				PHI-related	
Comorbid/Complication 4	NONE	Comorbid/Complication 4		Contact State				PHI-related	
Comorbid/Complication 5	NONE	Comorbid/Complication 5		Contact Street				PHI-related	
Comorbid/Complication 6	NONE	Comorbid/Complication 6		Contact Street - Supplemental				PHI-related	
Comorbid/Complication 7	NONE	Comorbid/Complication 7		Contact Zip				PHI-related	
Comorbid/Complication 8	NONE	Comorbid/Complication 8		County of Residence at Diagnosis	Residence (County)	Locations:Residence County	Or state code if county population is <20.000		
Comorbid/Complication 9	NONE	Comorbid/Complication 9		CS Extension	CS Extension	Health: Diagnosis		Collaborative Stage code for extension of tumor from primary site (confined to site or regional extension)	
County at Dx	019 (FRESNO)			CS Lymph Nodes	CS Lymph Nodes	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage
CS Extension				CS Lymph Nodes Evaluation	CS Lymph Nodes Evaluation	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Lymph Nodes				CS Metastasis at Diagnosis	CS Metastasis at Diagnosis	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Lymph Nodes Eval				CS Metastasis at Diagnosis Bone	CS Metastasis at Diagnosis Bone	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Lymph Nodes Eval				CS Metastasis at Diagnosis Brain	CS Metastasis at Diagnosis Brain	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Lymph Nodes Eval (>1/1/04)				CS Metastasis at Diagnosis Liver	CS Metastasis at Diagnosis Liver	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Mets at Dx				CS Metastasis at Diagnosis Lung	CS Metastasis at Diagnosis Lung	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Mets Eval				CS Metastasis Evaluation	CS Metastasis Evaluation	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Mets Eval (>1/1/04)				CS Site Specific Factor 1	CS Site Specific Factor 1	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 1				CS Site Specific Factor 2	CS Site Specific Factor 2	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 1				CS Site Specific Factor 3	CS Site Specific Factor 3	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 10				CS Site Specific Factor 4	CS Site Specific Factor 4	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 11				CS Site Specific Factor 5	CS Site Specific Factor 5	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 12				CS Site Specific Factor 6	CS Site Specific Factor 6	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 13				CS Site Specific Factor 7	CS Site Specific Factor 7	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 14				CS Site Specific Factor 8	CS Site Specific Factor 8	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 15				CS Site Specific Factor 9	CS Site Specific Factor 9	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 16				CS Site Specific Factor 10	CS Site Specific Factor 10	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 17				CS Site Specific Factor 11	CS Site Specific Factor 11	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 18				CS Site Specific Factor 12	CS Site Specific Factor 12	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 19				CS Site Specific Factor 13	CS Site Specific Factor 13	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 2				CS Site Specific Factor 14	CS Site Specific Factor 14	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 2				CS Site Specific Factor 15	CS Site Specific Factor 15	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 20				CS Site Specific Factor 16	CS Site Specific Factor 16	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 21				CS Site Specific Factor 17	CS Site Specific Factor 17	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 22				CS Site Specific Factor 18	CS Site Specific Factor 18	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 23				CS Site Specific Factor 19	CS Site Specific Factor 19	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 24				CS Site Specific Factor 20	CS Site Specific Factor 20	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 3				CS Site Specific Factor 21	CS Site Specific Factor 21	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 4				CS Site Specific Factor 22	CS Site Specific Factor 22	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 5				CS Site Specific Factor 23	CS Site Specific Factor 23	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 6				CS Site Specific Factor 24	CS Site Specific Factor 24	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 7				CS Site Specific Factor 25	CS Site Specific Factor 25	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 8				CS Tumor Size	CS Tumor Size	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Site-Specific Factor 9				CS Tumor Size/Extension Evaluation	CS Tumor Size/Extension Evaluation	Health: Diagnosis		These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Tumor Size				CS Version Input Current				These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Tumor Size				CS Version Latest				These are Collaborative Stage codes that are being phased out in favor of AJCC TNM Stage	
CS Tumor Size/Extension Eval				Date Case Initiated	Year Case Initiated	Dates: Year treatment began			
CS Tumor Size/Extension Eval				Age	Age at Diagnosis	Dates: Age at diagnosis	Or ">90" if >90. 		
CS Tumor Sz/Ext Eval (>1/1/04)									
cT Code	NOT APPLICABLE			Date of Chemotherapy	Chemotherapy Days	Durations: Treatments	Days from birth		
cTNM Stage Group	NOT APPLIC			Date of Conclusive DX	Conclusive DX Days	Durations: Treatments	Days relative to date initiated		
Date Case Completed	35610			Date of Diagnosis	Diagnosis Days	Durations: Treatments	Days relative to date initiated		
Date First Contact	35276			Date of First Admission	First Admission Days	Durations: Treatments	Days relative to date initiated		
Date Last Contact or Death	35688			Date of Hormone Therapy	Hormone Therapy Days	Durations: Treatments	Days relative to date initiated		
Date Last Tumor Status	35688			Date of Immunotherapy	Immunotherapy, Days	Durations: Treatments	Days relative to date initiated		
Date No Treatment Decision	00/00/0000			Date of Inpatient Admission	Inpatient Admission, Days	Durations: Treatments	Days relative to date initiated		
Date No Treatment Decision	00/00/0000			Date of Inpatient Discharge	Inpatient Discharge, Days	Durations: Treatments	Days relative to date initiated		
Date of Diagnosis	35276			Date of Last Patient Contact or Death	Last Patient Contact or Death, Days	Durations: Treatments	Days relative to date initiated		
Date Recurrence	00/00/0000			Date of Last Tumor Status	Last Tumor Status, Days	Durations: Treatments	Days relative to date initiated		
Date Recurrence Summary	00/00/0000			Date of Most Definitive Surgery of the Primary Site	Most Definitive Surgery of the Primary Site, Days	Durations: Treatments	Days relative to date initiated		
Death Certificate Cause of Death	0			Date of Multiple Tumors	Multiple Tumors, Days	Durations: Treatments	Days relative to date initiated		
Derived AJCC Flag				Date of Other Therapy	Other Therapy, Days	Durations: Treatments	Days relative to date initiated		
